text,createTime,authorMeta.name,authorMeta.heart,authorMeta.video,musicMeta.musicName,musicMeta.musicAuthor,videoMeta.duration,diggCount,shareCount,playCount,commentCount,mentions,hashtags,dates,Engagement Rates,Hypehouse?
New video up! Link in bio,1582490888,thehypehouse,376697328,219,original sound,thehypehouse,14,995513,1804,6238261,2636,[],[],2020-02-23,16.02935497568954,1
New YouTube video is up! Link in bio!,1582482600,thehypehouse,376697328,219,original sound,thehypehouse,12,1280622,4711,7505660,5892,[],[],2020-02-23,17.203350538127225,1
THIS ACTUALLY HURT SO BAD @jack.wright @jameswrightt #blooper,1582340176,thehypehouse,376697341,219,Seve,Tez Cadey,15,980393,4061,6868565,4151,"[""@jack"",""@jameswrightt""]","[{""id"":""28741"",""name"":""blooper"",""title"":""whoops! 😵"",""cover"":[]}]",2020-02-21,14.393181108426578,1
LITERALLY JUST KEEP VIBIN’ TIL SUMMER @jack.wright @jameswrightt,1582340065,thehypehouse,376697341,219,Seve,Tez Cadey,15,729914,5806,5941989,2830,"[""@jack"",""@jameswrightt""]",[],2020-02-21,12.429339737922774,1
@k0uvr teaches @alexwaarren how to dance,1582336721,thehypehouse,376697341,219,original sound,blesstune,8,1249968,3510,9831735,5020,"[""@k0uvr"",""@alexwaarren""]",[],2020-02-21,12.800365347520046,1
the energy is real today🤣 @nickaustinn @lilhuddy,1582325422,thehypehouse,376697341,219,ily uwu_kajak,uwu_kajak,15,903239,5576,6857174,4958,"[""@nickaustinn"",""@lilhuddy""]",[],2020-02-21,13.325795728677733,1
watch us tonight on entertainment tonight !,1582163476,thehypehouse,376697341,219,original sound,pjack17,11,1445407,7943,7981644,7280,[],[],2020-02-19,18.29986403803527,1
Jack in the back😂 @addisonre @petroutv @larrayeeee,1582139577,thehypehouse,376697341,219,Trust,Brent Faiyaz,14,1565848,5710,10304540,6421,"[""@addisonre"",""@petroutv"",""@larrayeeee""]",[],2020-02-19,15.313434660838816,1
We turned the house into a trampoline park😂 @lilhuddy @rylandstormss MORE ON OUR YT CHANNEL (the hype house),1582076014,thehypehouse,376697341,219,zaehd ceo cookie shop,smitty4x,5,1353786,4194,7908700,4394,"[""@lilhuddy"",""@rylandstormss""]",[],2020-02-18,17.226269804139747,1
@avani got nervous @jack.wright @jameswrightt,1581980363,thehypehouse,376697341,219,Classic,rapidsongs,13,1896555,15231,11118816,6247,"[""@avani"",""@jack"",""@jameswrightt""]",[],2020-02-17,17.2503349277477,1
@avani @jameswrightt @jack.wright,1581979996,thehypehouse,376697341,219,Classic,rapidsongs,13,1766181,58658,11927292,7583,"[""@avani"",""@jameswrightt"",""@jack""]",[],2020-02-17,15.363269382522034,1
we’re actors @lilhuddy @ondreazlopez_,1581825867,thehypehouse,376697341,219,original sound,alyssaornelaz,13,1649524,16329,9164372,6777,"[""@lilhuddy"",""@ondreazlopez_""]",[],2020-02-15,18.251441560862,1
@alexwaarren @k0uvr @petroutv go to disneyland,1581730384,thehypehouse,376697341,219,original sound,thehypehouse,21,3440562,14688,14656168,8344,"[""@alexwaarren"",""@k0uvr"",""@petroutv""]",[],2020-02-14,23.6323300879193,1
Welp,1581541502,thehypehouse,376697341,219,Vibe (If I Back It Up),Cookiee Kawaii,15,3609486,37700,26680512,20488,[],"[{""id"":""11150"",""name"":""backitup"",""title"":""¡Nos encanta esta canción! La coreografía más rara gana 🤪"",""cover"":[""https://p16-va-default.akamaized.net/obj/musically-maliva-obj/283a028bc4743ff4ba14d2e345611b7d""]}]",2020-02-12,13.746640244385116,1
@lilhuddy @charlidamelio,1581540963,thehypehouse,376697341,219,Sunday Best by Surfaces,rapidsongs,13,4377748,32434,24641654,18540,"[""@lilhuddy"",""@charlidamelio""]","[{""id"":""4806717"",""name"":""feelinblessed"",""title"":""Are you #Feelinblessed ? Join this trend today 💃🏾\n\nHow to shoot: \n1. Click on the shoot icon. \n2. Click on 'sounds' at the top of your screen and select the first sound you see under &quot;Discover&quot;. \n3. Don’t forget to add #feelinblessed."",""cover"":[""https://p16-va-default.akamaized.net/obj/musically-maliva-obj/80922e46a17c8ba03c3ae5cd307ddc67""]}]",2020-02-12,17.972502982145595,1
@petroutv @lilhuddy @nickaustinn @tonylopez__,1581459392,thehypehouse,376697341,219,Bagaikan Langit（cover）,_ucil👑,10,1782091,17825,9909053,12425,"[""@petroutv"",""@lilhuddy"",""@nickaustinn"",""@tonylopez__""]",[],2020-02-11,18.289749787391386,1
cleme the 🐐 @lilhuddy,1581375109,thehypehouse,376697341,219,itsundos,itsundos,10,1411121,4951,8577540,9564,"[""@lilhuddy""]",[],2020-02-10,16.620569533922314,1
