text,createTime,authorMeta.name,authorMeta.heart,authorMeta.video,musicMeta.musicName,musicMeta.musicAuthor,videoMeta.duration,diggCount,shareCount,playCount,commentCount,mentions,hashtags,dates,Engagement Rates,Hypehouse?
I love Anthony @luvanthony,1573676071,petroutv,208898206,668,original sound,petroutv,15,117161,1749,546660,367,"[""@luvanthony""]",[],2019-11-14,21.819229502798816,0
@luvanthony didn't even know this was the sound 😂 and yes he was sleeping on the counter,1573665694,petroutv,208898206,668,Good Morning,Mak Sauce,9,231013,6566,1010459,896,"[""@luvanthony""]",[],2019-11-14,23.60066068984491,0
We're building a family @lilhuddy @jadenhossler just wait ❤️,1573613318,petroutv,208898206,668,Comatose,jadenhossler,13,84518,1153,447094,298,"[""@lilhuddy"",""@jadenhossler""]",[],2019-11-13,19.228394923662588,0
Good morning @nickaustinn @lilhuddy,1573581506,petroutv,208898206,668,original sound,petroutv,14,22038,407,159631,87,"[""@nickaustinn"",""@lilhuddy""]",[],2019-11-13,14.115052840613664,0
Didn't even mean to make a loop 😂,1573496175,petroutv,208898206,668,New Flesh,Current Joys,14,11957,26,125400,48,[],[],2019-11-12,9.594098883572567,0
He's literally a vampire @lilhuddy,1573447667,petroutv,208898206,668,original sound,petroutv,13,90968,1383,420325,364,"[""@lilhuddy""]",[],2019-11-11,22.057931362636054,0
Late night shnack @lilhuddy,1573418972,petroutv,208898206,668,original sound,lilrouxx,15,171483,4008,741774,551,"[""@lilhuddy""]",[],2019-11-11,23.73256544446152,0
I'm so pissed...,1573403393,petroutv,208898206,668,original sound,petroutv,15,15646,51,130152,60,[],[],2019-11-11,12.106613805396767,0
Saturdays are for the boys,1573358289,petroutv,208898206,668,original sound,petroutv,7,16570,99,138477,42,[],[],2019-11-10,12.067707994829465,0
behind the scenes,1573348110,petroutv,208898206,668,original sound,petroutv,13,39860,88,336374,61,[],[],2019-11-10,11.894201097587805,0
Race you to the top @rylandstorms11,1573345621,petroutv,208898220,668,original sound,petroutv,15,18312,42,139581,28,"[""@rylandstorms11""]",[],2019-11-10,13.169414175281736,0
Brosexual @rylandstorms11,1573344705,petroutv,208898220,668,original sound,petroutv,7,25019,123,190960,35,"[""@rylandstorms11""]",[],2019-11-10,13.184436531210725,0
POV: me trying to figured this shit out,1573344294,petroutv,208898220,668,Mount Everest,Labrinth,12,21548,305,318970,139,[],[],2019-11-10,6.894692290811048,0
Breakfast with the squad,1573330236,petroutv,208898220,668,Day in Paris LLusion,llusionmusic,15,15522,191,125407,88,[],[],2019-11-10,12.599775132169654,0
I'm better than you at dancing @charlidamelio,1573254217,petroutv,208898220,668,Woah,$WAVE,10,26368,70,199740,90,"[""@charlidamelio""]",[],2019-11-09,13.28126564533894,0
Our home for the next few days,1573253059,petroutv,208898220,668,Day in Paris LLusion,llusionmusic,15,11750,27,108601,46,[],[],2019-11-09,10.886640086187052,0
You're so lovely @lilhuddy,1573252132,petroutv,208898220,668,ur so lovely,darrenjchen,15,20799,537,144872,115,"[""@lilhuddy""]",[],2019-11-09,14.806863990281075,0
